match_id,win,blue_dragons,blue_heralds,blue_towers,blue_kills,blue_firstBlood,blue_voidgrubs,red_dragons,red_heralds,red_towers,red_kills,red_voidgrubs,blue_top_gold,blue_top_cs,blue_top_kills,blue_top_deaths,blue_top_champion,blue_top_tag,red_top_gold,red_top_cs,red_top_kills,red_top_deaths,red_top_champion,red_top_tag,top_gold_diff,blue_jungle_gold,blue_jungle_cs,blue_jungle_kills,blue_jungle_deaths,blue_jungle_champion,blue_jungle_tag,red_jungle_gold,red_jungle_cs,red_jungle_kills,red_jungle_deaths,red_jungle_champion,red_jungle_tag,jungle_gold_diff,blue_middle_gold,blue_middle_cs,blue_middle_kills,blue_middle_deaths,blue_middle_champion,blue_middle_tag,red_middle_gold,red_middle_cs,red_middle_kills,red_middle_deaths,red_middle_champion,red_middle_tag,middle_gold_diff,blue_bottom_gold,blue_bottom_cs,blue_bottom_kills,blue_bottom_deaths,blue_bottom_champion,blue_bottom_tag,red_bottom_gold,red_bottom_cs,red_bottom_kills,red_bottom_deaths,red_bottom_champion,red_bottom_tag,bottom_gold_diff,blue_utility_gold,blue_utility_cs,blue_utility_kills,blue_utility_deaths,blue_utility_champion,blue_utility_tag,red_utility_gold,red_utility_cs,red_utility_kills,red_utility_deaths,red_utility_champion,red_utility_tag,utility_gold_diff,blue_comp,red_comp
KR_8226767331,1,0,0,0,25,1,2,1,0,2,18,1,6200,110,2,4,Fiora,Fighter,5885,89,5,3,Vayne,Marksman,315,7634,91,9,1,Evelynn,Assassin,6669,115,2,6,Graves,Marksman,965,6204,106,5,4,Diana,Fighter,6301,120,4,1,Singed,Tank,-97,7031,102,7,5,Lucian,Marksman,5741,77,2,8,Corki,Marksman,1290,6253,22,2,4,Nami,Support,6298,19,5,7,Camille,Fighter,-45,혼합조합,하이퍼캐리
KR_8184794170,0,1,0,2,12,1,0,1,0,0,19,3,4190,88,0,8,Ryze,Mage,6664,111,6,1,MonkeyKing,Fighter,-2474,6085,79,4,2,LeeSin,Fighter,7849,126,8,1,Graves,Marksman,-1764,7352,122,6,2,Katarina,Assassin,6185,132,2,3,Hwei,Mage,1167,5730,108,0,2,Jhin,Marksman,5974,107,2,4,Lucian,Marksman,-244,4456,20,2,5,Bard,Support,4102,18,1,3,Nautilus,Tank,354,혼합조합,하이퍼캐리
KR_8185590619,0,1,0,1,10,0,0,0,0,0,16,3,4807,125,0,1,Rumble,Fighter,5494,129,1,1,Riven,Fighter,-687,5052,102,1,4,Viego,Assassin,7418,120,6,1,Sylas,Mage,-2366,5422,110,4,3,Zoe,Mage,6981,132,3,1,Zed,Assassin,-1559,7406,116,5,3,Yunara,Unknown,6652,117,6,3,Jhin,Marksman,754,4148,18,0,5,Thresh,Support,3949,18,0,5,Bard,Support,199,혼합조합,혼합조합
KR_8224921886,0,2,0,1,11,0,3,0,0,2,11,0,4505,87,1,3,Malphite,Tank,6427,134,2,1,Kennen,Mage,-1922,7457,117,6,1,LeeSin,Fighter,6440,108,4,2,Naafiri,Assassin,1017,6118,142,1,2,Cassiopeia,Mage,5891,119,2,3,Sylas,Mage,227,8383,139,2,2,Draven,Marksman,5622,96,2,2,Jinx,Marksman,2761,3926,33,1,3,Blitzcrank,Tank,4321,20,1,3,Zilean,Support,-395,혼합조합,혼합조합
KR_8224465626,0,0,0,0,11,1,3,1,0,1,13,0,6406,134,3,2,Ambessa,Unknown,4462,74,2,4,Vayne,Marksman,1944,6219,115,3,3,LeeSin,Fighter,6474,101,3,2,Nidalee,Assassin,-255,6228,125,2,3,TwistedFate,Mage,6491,144,3,0,Sion,Tank,-263,5888,135,1,3,Ziggs,Mage,7689,163,3,2,Varus,Marksman,-1801,4549,11,2,2,Rakan,Support,4758,22,2,3,Pyke,Support,-209,혼합조합,하이퍼캐리
KR_8164999501,1,1,0,1,12,0,0,0,0,1,13,3,3259,56,0,8,Renekton,Fighter,7523,114,9,1,MasterYi,Assassin,-4264,5857,111,2,2,Aatrox,Fighter,5165,88,1,2,Vi,Fighter,692,5845,133,2,1,Ahri,Mage,5836,131,2,3,KogMaw,Marksman,9,7778,120,7,2,Vayne,Marksman,4666,96,0,5,Xayah,Marksman,3112,4754,12,1,0,Yuumi,Support,3767,13,1,1,Lulu,Support,987,혼합조합,하이퍼캐리
KR_8197991862,1,1,0,0,19,1,3,1,0,0,11,0,5558,117,3,1,Ambessa,Unknown,5563,135,1,3,Illaoi,Fighter,-5,6830,115,5,1,Taliyah,Mage,5626,95,3,4,Talon,Assassin,1204,7123,110,7,4,Qiyana,Assassin,5186,94,3,5,Vex,Mage,1937,6075,122,1,3,Ashe,Marksman,6248,121,2,4,Ezreal,Marksman,-173,4639,20,3,2,Seraphine,Mage,4767,36,2,3,Karma,Mage,-128,혼합조합,혼합조합
KR_8110930348,1,1,0,0,25,1,3,0,0,3,10,0,5881,113,3,4,Yasuo,Fighter,5085,92,3,5,Jax,Fighter,796,6628,90,4,0,Vi,Fighter,8099,111,6,2,Sylas,Mage,-1471,7604,144,6,1,Ahri,Mage,4860,99,0,6,TwistedFate,Mage,2744,8734,142,6,3,Jinx,Marksman,4953,79,1,7,Aphelios,Marksman,3781,5363,14,6,2,Pyke,Support,3887,24,0,5,Rell,Tank,1476,혼합조합,혼합조합
KR_8227229990,1,1,0,1,16,0,1,0,0,0,19,2,5319,84,3,5,Gragas,Fighter,7193,120,6,3,Poppy,Tank,-1874,5896,68,3,5,XinZhao,Fighter,6699,103,6,4,Jayce,Fighter,-803,7317,119,6,2,Fizz,Assassin,6296,110,4,2,Zoe,Mage,1021,6484,117,3,3,Ezreal,Marksman,6824,114,3,3,Kaisa,Marksman,-340,4318,19,1,4,Leona,Tank,4420,23,0,5,JarvanIV,Tank,-102,혼합조합,혼합조합
KR_8170529215,0,0,0,4,12,1,2,2,0,0,13,1,4398,89,1,4,Gnar,Fighter,7904,130,4,2,Sett,Fighter,-3506,5523,97,2,2,LeeSin,Fighter,6189,111,2,0,Vi,Fighter,-666,4947,119,1,2,Leblanc,Assassin,6338,153,1,2,Vex,Mage,-1391,7420,114,7,4,Kaisa,Marksman,6675,124,3,2,Ezreal,Marksman,745,4041,24,1,1,Morgana,Mage,5389,34,3,6,Sylas,Mage,-1348,혼합조합,혼합조합
